265,"Ascolta, Israele: Il Signore, il nostro Dio, è l'unico Signore.","Deuteronomio 6:4","Edificazione"
266,"Non affannatevi per il vestito... Guardate i gigli del campo come crescono.","Matteo 6:28","Consolazione"
267,"Il Signore gradisce coloro che lo temono, coloro che sperano nella sua bontà.","Salmo 147:11","Consolazione"
268,"C'è una via che all'uomo sembra diritta, ma la sua fine conduce alla morte.","Proverbi 14:12","Esortazione"
269,"Perciò accoglietevi gli uni gli altri, come anche Cristo vi ha accolti per la gloria di Dio.","Romani 15:7","Esortazione"
270,"Poiché il giogo di Cristo è dolce e il suo carico è leggero.","Matteo 11:30","Consolazione"
271,"Beati i puri di cuore, perché vedranno Dio.","Matteo 5:8","Edificazione"
272,"Chi disprezza la parola si rovina, ma chi rispetta il comandamento sarà ricompensato.","Proverbi 13:13","Esortazione"
273,"Io sono il buon pastore; il buon pastore dà la sua vita per le pecore.","Giovanni 10:11","Consolazione"
274,"Benedirò il Signore in ogni tempo; la sua lode sarà sempre nella mia bocca.","Salmo 34:1","Esortazione"
275,"Non c'è autorità se non da Dio; e le autorità che esistono sono stabilite da Dio.","Romani 13:1","Edificazione"
276,"Il Signore risana i cuori affranti e fascia le loro ferite.","Salmo 147:3","Consolazione"
277,"Siate temperanti, vigilate. Il vostro avversario, il diavolo, va attorno come un leone ruggente.","1 Pietro 5:8","Esortazione"
278,"Poiché la parola di Dio è vivente ed efficace, più affilata di qualunque spada.","Ebrei 4:12","Edificazione"
279,"La via dell'empio è in abominio al Signore, ma egli ama chi segue la giustizia.","Proverbi 15:9","Esortazione"
280,"Egli cambierà il nostro corpo umile, per renderlo conforme al suo corpo glorioso.","Filippesi 3:21","Consolazione"
281,"Fate tutto senza mormorii e senza dispute.","Filippesi 2:14","Esortazione"
282,"Il Signore è la mia luce e la mia salvezza; di chi temerò?","Salmo 27:1","Consolazione"
283,"Figlioli, non amiamo a parole né con la lingua, ma con i fatti e in verità.","1 Giovanni 3:18","Esortazione"
284,"Poiché in lui sono state create tutte le cose che sono nei cieli e sulla terra.","Colossesi 1:16","Edificazione"
285,"Mettimi come un sigillo sul tuo cuore, come un sigillo sul tuo braccio.","Cantico dei Cantici 8:6","Edificazione"
286,"Non essere saggio ai tuoi propri occhi; temi il Signore e allontanati dal male.","Proverbi 3:7","Esortazione"
287,"Poiché voi non avete ricevuto uno spirito di servitù per ricadere nella paura.","Romani 8:15","Consolazione"
288,"Servite il Signore con letizia, presentatevi a lui con canti di gioia.","Salmo 100:2","Esortazione"
289,"Chi ha pietà del povero onora Colui che l'ha fatto.","Proverbi 14:31","Esortazione"
290,"Ecco, Dio è la mia salvezza; io avrò fiducia e non temerò.","Isaia 12:2","Consolazione"
291,"Se qualcuno vuol venire dietro a me, rinneghi sé stesso, prenda la sua croce e mi segua.","Matteo 16:24","Esortazione"
292,"Le parole gentili sono un favo di miele; dolcezza all'anima, salute alle ossa.","Proverbi 16:24","Edificazione"
293,"Infatti io non mi vergogno del vangelo, perché esso è potenza di Dio per la salvezza.","Romani 1:16","Edificazione"
294,"Chi è quel Dio che è come te, che perdona l'iniquità?","Michea 7:18","Consolazione"
295,"Custodisci il tuo cuore più di ogni altra cosa, poiché da esso provengono le sorgenti della vita.","Proverbi 4:23","Esortazione"
296,"Siamo stati sepolti con lui mediante il battesimo nella morte.","Romani 6:4","Edificazione"
297,"Chi lavora la sua terra avrà pane in abbondanza, ma chi va dietro ai fannulloni è privo di senno.","Proverbi 12:11","Esortazione"
298,"La mia anima è in pace e in silenzio come un bambino svezzato.","Salmo 131:2","Consolazione"
299,"Il Signore veglierà su di te; il Signore è la tua ombra alla tua destra.","Salmo 121:5","Consolazione"
300,"Siate ubbidienti ai vostri conduttori e sottomettetevi a loro.","Ebrei 13:17","Esortazione"
301,"Poiché Dio non è ingiusto da dimenticare l'opera vostra e l'amore che avete dimostrato.","Ebrei 6:10","Consolazione"
302,"La bocca del giusto è una fonte di vita.","Proverbi 10:11","Edificazione"
303,"Non maltratterai lo straniero e non l'opprimerai.","Esodo 22:21","Esortazione"
304,"Chi fa il bene è da Dio; chi fa il male non ha visto Dio.","3 Giovanni 1:11","Edificazione"
305,"Io sono l'alfa e l'omega, il principio e la fine, dice il Signore Dio.","Apocalisse 1:8","Edificazione"
306,"Cercate la pace con tutti e la santificazione, senza la quale nessuno vedrà il Signore.","Ebrei 12:14","Esortazione"
307,"Poiché la tristezza secondo Dio produce un ravvedimento che porta alla salvezza.","2 Corinzi 7:10","Edificazione"
308,"Chi è colui che non pecca con la lingua?","Giacomo 3:2","Esortazione"
309,"Non ci lusinghiamo invano; la cattiva compagnia corrompe i buoni costumi.","1 Corinzi 15:33","Esortazione"
310,"Il Signore è lo Spirito; e dove c'è lo Spirito del Signore, lì c'è libertà.","2 Corinzi 3:17","Consolazione"
311,"Chi dona al povero non sarà mai nel bisogno.","Proverbi 28:27","Esortazione"
312,"Vi do un nuovo comandamento: che vi amiate gli uni gli altri.","Giovanni 13:34","Esortazione"
313,"La preghiera degli uomini retti è gradita al Signore.","Proverbi 15:8","Edificazione"
314,"Egli non ci tratta secondo i nostri peccati e non ci retribuisce secondo le nostre colpe.","Salmo 103:10","Consolazione"
315,"Non accumulatevi tesori sulla terra.","Matteo 6:19","Esortazione"
316,"Siate dunque imitatori di Dio, come figli amati.","Efesini 5:1","Esortazione"
317,"Il Signore è il mio pastore, nulla mi manca.","Salmo 23:1","Consolazione"
318,"Dio è amore; e chi rimane nell'amore rimane in Dio e Dio rimane in lui.","1 Giovanni 4:16","Edificazione"
319,"Tutte le cose cooperano al bene di quelli che amano Dio.","Romani 8:28","Consolazione"
320,"Rallegratevi nel Signore sempre; lo ripeterò: rallegratevi.","Filippesi 4:4","Esortazione"
321,"Poiché il salario del peccato è la morte, ma il dono di Dio è la vita eterna.","Romani 6:23","Edificazione"
322,"Egli asciugherà ogni lacrima dai loro occhi.","Apocalisse 21:4","Consolazione"
323,"Il Signore ti benedica e ti custodisca.","Numeri 6:24","Consolazione"
324,"Confessa il tuo peccato e non nasconderlo.","Salmo 32:5","Esortazione"
325,"L'uomo vede l'apparenza, ma il Signore vede il cuore.","1 Samuele 16:7","Edificazione"
326,"Non temere, perché io sono con te.","Isaia 41:10","Consolazione"
327,"Fate ogni cosa per la gloria di Dio.","1 Corinzi 10:31","Esortazione"
328,"La legge del Signore è perfetta, essa ristora l'anima.","Salmo 19:7","Edificazione"
329,"Chi confida nel Signore è come il monte Sion, che non può vacillare.","Salmo 125:1","Consolazione"
330,"Il ferro forbisce il ferro; così un uomo forbisce il volto del suo amico.","Proverbi 27:17","Edificazione"
331,"Sottomettetevi dunque a Dio, ma resistete al diavolo.","Giacomo 4:7","Esortazione"
332,"Il Signore è la mia luce e la mia salvezza.","Salmo 27:1","Edificazione"
333,"Venite a me, voi tutti che siete affaticati.","Matteo 11:28","Consolazione"
334,"La fede è certezza di cose che si sperano.","Ebrei 11:1","Edificazione"
335,"Pregate senza cessare.","1 Tessalonicesi 5:17","Esortazione"
336,"Io sono la vite, voi siete i tralci.","Giovanni 15:5","Edificazione"
337,"Cercate prima il regno di Dio.","Matteo 6:33","Esortazione"
338,"Dio ha tanto amato il mondo da dare il suo Figlio.","Giovanni 3:16","Consolazione"
339,"Tutto posso in colui che mi fortifica.","Filippesi 4:13","Esortazione"
340,"Siate forti e coraggiosi.","Giosuè 1:9","Esortazione"
341,"L'amore non verrà mai meno.","1 Corinzi 13:8","Consolazione"
342,"Gettate su di lui ogni vostra preoccupazione.","1 Pietro 5:7","Consolazione"
343,"La parola del Signore rimane in eterno.","1 Pietro 1:25","Edificazione"
344,"Camminiamo per fede e non per visione.","2 Corinzi 5:7","Esortazione"
345,"Il Signore è il mio aiuto; non temerò.","Ebrei 13:6","Consolazione"
346,"Chi crede in me ha vita eterna.","Giovanni 6:47","Edificazione"
347,"Siate allegri nella speranza.","Romani 12:12","Esortazione"
348,"Il Signore è buono verso tutti.","Salmo 145:9","Consolazione"
349,"Non c'è timore nell'amore.","1 Giovanni 4:18","Edificazione"
350,"Chiedete e vi sarà dato.","Matteo 7:7","Esortazione"
351,"Il Signore regna!","Salmo 93:1","Edificazione"
352,"La pace di Cristo regni nei vostri cuori.","Colossesi 3:15","Consolazione"
353,"Siate santi in tutta la vostra condotta.","1 Pietro 1:15","Esortazione"
354,"Dio è fedele.","1 Corinzi 10:13","Consolazione"
355,"Il Signore è la mia forza e il mio scudo.","Salmo 28:7","Edificazione"
356,"Io non ti lascerò e non ti abbandonerò.","Giosuè 1:5","Consolazione"
357,"La grazia del Signore Gesù sia con tutti.","Apocalisse 22:21","Edificazione"
358,"Perdonate e vi sarà perdonato.","Luca 6:37","Esortazione"
359,"Il Signore protegge i semplici.","Salmo 116:6","Consolazione"
360,"Chi cerca trova.","Luca 11:10","Esortazione"
361,"Dio è luce e in lui non ci sono tenebre.","1 Giovanni 1:5","Edificazione"
362,"La mia gioia sia in voi.","Giovanni 15:11","Consolazione"
363,"Camminate nell'amore.","Efesini 5:2","Esortazione"
364,"Il Signore è il mio pastore.","Salmo 23:1","Consolazione"
365,"Ebenezer: fin qui il Signore ci ha soccorsi.","1 Samuele 7:12","Edificazione"
